,nb_inputs,cross_corr,legacy_cross_corr,cp_dot_computation_no_reshape,np_dot_computation_no_reshape,inputs_side_len,nb_kernels,kernels_side_len,depth,speed_up
81,1,0.0010454550001668395,0.001203083999826049,0.000751646000026085,0.00016108999989228323,32,11,3,3,1.1507754993127912
53,1,0.0012447869999050454,0.0014327819999380154,0.0008886880000318342,0.00016073699998742086,32,8,4,3,1.1510258381934504
880,1,0.2670294650001779,0.3082494689997475,0.5477735080003185,0.11842651899996781,1000,31,3,1,1.15436500237733
61,1,0.0010444289996485168,0.0012147020001975761,0.0007244039998113294,0.0001581259998602036,32,9,3,3,1.1630297517651862
275,1,0.0009451790001548943,0.0011088640003436012,0.0011770280002565414,0.00026540899989413447,32,30,5,3,1.173178837195793
91,1,0.0010178269999414624,0.0011974419999205566,0.0007583669998894038,0.00015217500003927853,32,12,3,3,1.1764690856004254
1190,101,0.015444467999714107,0.018179207000230235,0.03074740900001416,0.005477039000197692,32,32,3,1,1.177069161629054
295,1,0.0009753720000844623,0.0011487810002108745,0.0011850410000988632,0.00023655400036659557,32,32,5,3,1.1777875519405887
171,1,0.0010417839998808631,0.001235612999607838,0.0008505579999109614,0.000169734999872162,32,20,3,3,1.1860548825372061
1160,101,0.013958655999886105,0.016588358999797492,0.028188173999751598,0.003595796000354312,32,29,3,1,1.1883922778763834
201,1,0.001061684999967838,0.0012621640003089851,0.0009351530002277286,0.00016699400021025212,32,23,3,3,1.1888309624297417
151,1,0.0012941569998474733,0.001540495999961422,0.0008485039998049615,0.00015301199982786784,32,18,3,3,1.1903470754653274
870,1,0.2567591890001495,0.30647863700005473,0.5372986329998639,0.1132587360002617,1000,30,3,1,1.1936423315306401
530,1,0.042215035000026546,0.05039443500027119,0.12590537799997037,0.028196834000027593,500,26,3,1,1.1937556133789655
285,1,0.0009405470000274363,0.0011235550000492367,0.0013454959998853155,0.0002996739999616693,32,31,5,3,1.1945761349687596
277,1,0.001028122999741754,0.0012293990002945065,0.0013338670000848651,0.00033422400019844645,32,30,6,3,1.195770351021531
43,1,0.0012152570002399443,0.0014579580001736758,0.0008930989997679717,0.0001554020000185119,32,7,4,3,1.1997116658334919
